Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:M2M,"Mt Malcolm Mines NL (ASX:M2M)",https://www.listcorp.com/asx/m2m/mt-malcolm-mines-nl,"	3070300",0.025,-0.01,-16.67,Materials
ASX:QYLD,"Global X Nasdaq 100 Covered Call ETF (ASX:QYLD)",https://www.listcorp.com/asx/qyld/global-x-nasdaq-100-covered-call-etf,"	3067960",11.5,-0.07,-0.61,Financials
ASX:WEL,"Winchester Energy Limited (ASX:WEL)",https://www.listcorp.com/asx/wel/winchester-energy-limited,"	3061270",0.003,0.00,0,Energy
ASX:PKD,"Parkd Ltd (ASX:PKD)",https://www.listcorp.com/asx/pkd/parkd-ltd,"	3054550",0.03,0.00,0,Industrials
ASX:MTB,"Mount Burgess Mining NL (ASX:MTB)",https://www.listcorp.com/asx/mtb/mount-burgess-mining,"	3046940",0.003,0.00,0,Materials
ASX:BEL,"Bentley Capital (ASX:BEL)",https://www.listcorp.com/asx/bel/bentley-capital,"	3045120",0.04,0.00,0,Financials
ASX:DAL,"Dalaroo Metals Ltd (ASX:DAL)",https://www.listcorp.com/asx/dal/dalaroo-metals-ltd,"	3040000",0.04,0.00,0,Materials
ASX:CBH,"Coolabah Metals Limited (ASX:CBH)",https://www.listcorp.com/asx/cbh/coolabah-metals-limited,"	3005600",0.052,0.00,0,Materials
ASX:DM1,"Desert Metals Limited (ASX:DM1)",https://www.listcorp.com/asx/dm1/desert-metals-limited,"	2974180",0.041,0.00,0,Materials
ASX:DUN,"Dundas Minerals Limited (ASX:DUN)",https://www.listcorp.com/asx/dun/dundas-minerals-limited,"	2939360",0.058,0.00,0,Materials
ASX:AOA,"Ausmon Resources (ASX:AOA)",https://www.listcorp.com/asx/aoa/ausmon-resources,"	2935950",0.003,0.00,0,Materials
ASX:REM,"RemSense Technologies Limited (ASX:REM)",https://www.listcorp.com/asx/rem/remsense-technologies-limited,"	2900320",0.058,0.00,0,Industrials
ASX:EMU,"Emu NL (ASX:EMU)",https://www.listcorp.com/asx/emu/emu-nl,"	2900040",0.0015,-0.00,-25,Materials
ASX:ITEK,"iShares Future Tech Innovators ETF (ASX:ITEK)",https://www.listcorp.com/asx/itek/ishares-future-tech-innovators-etf,"	2870400",23.92,0.00,0,Financials
ASX:SKN,"Skin Elements Limited (ASX:SKN)",https://www.listcorp.com/asx/skn/skin-elements-limited,"	2847430",0.005,0.00,0,"Consumer Staples"
ASX:MDI,"Middle Island Resources (ASX:MDI)",https://www.listcorp.com/asx/mdi/middle-island-resources,"	2813160",0.02,0.00,0,Materials
ASX:HLF,"Halo Food Co. Limited (ASX:HLF)",https://www.listcorp.com/asx/hlf/halo-food-co-limited,"	2805390",0.007,0.00,0,"Consumer Staples"
ASX:FFF,"Forbidden Foods Limited (ASX:FFF)",https://www.listcorp.com/asx/fff/forbidden-foods-limited,"	2802910",0.015,0.00,0,"Consumer Staples"
ASX:CRB,"Carbine Resources Limited (ASX:CRB)",https://www.listcorp.com/asx/crb/carbine-resources-limited,"	2758690",0.005,0.00,0,Materials
ASX:HVM,"Happy Valley Nutrition Limited (ASX:HVM)",https://www.listcorp.com/asx/hvm/happy-valley-nutrition-limited,"	2741460",0.012,0.00,0,"Consumer Staples"
ASX:NMG,"NMG Corporation Limited (ASX:NMG)",https://www.listcorp.com/asx/nmg/nmg-corporation-limited,"	2706640",0.16,0.00,0,Materials
ASX:EMP,"Emperor Energy Limited (ASX:EMP)",https://www.listcorp.com/asx/emp/emperor-energy-limited,"	2688620",0.01,0.00,0,Energy
ASX:SLZ,"Sultan Resources Ltd (ASX:SLZ)",https://www.listcorp.com/asx/slz/sultan-resources-ltd,"	2667420",0.021,0.00,16.67,Materials
ASX:PRM,"Prominence Energy Limited (ASX:PRM)",https://www.listcorp.com/asx/prm/prominence-energy-limited,"	2615900",0.017,0.00,0,Energy
ASX:DC2,"DC Two Limited (ASX:DC2)",https://www.listcorp.com/asx/dc2/dc-two-limited,"	2614320",0.017,-0.00,-15,"Information Technology"
ASX:AMM,"Armada Metals Limited (ASX:AMM)",https://www.listcorp.com/asx/amm/armada-metals-limited,"	2571360",0.02,0.00,0,Materials
ASX:CRS,"Caprice Resources Ltd (ASX:CRS)",https://www.listcorp.com/asx/crs/caprice-resources,"	2568650",0.031,0.01,40.91,Materials
ASX:NGS,"Nutritional Growth Solutions Ltd (ASX:NGS)",https://www.listcorp.com/asx/ngs/nutritional-growth-solutions,"	2512270",0.011,0.00,10,"Consumer Staples"
ASX:HCT,"Holista Colltech Limited (ASX:HCT)",https://www.listcorp.com/asx/hct/holista-colltech,"	2509200",0.009,0.00,0,"Consumer Staples"
ASX:TMG,"Trigg Minerals Limited (ASX:TMG)",https://www.listcorp.com/asx/tmg/trigg-minerals-limited,"	2493850",0.011,0.00,10,Materials
ASX:NES,"Nelson Resources Limited (ASX:NES)",https://www.listcorp.com/asx/nes/nelson-resources-limited,"	2454380",0.004,0.00,0,Materials
ASX:IVT,"Inventis Limited (ASX:IVT)",https://www.listcorp.com/asx/ivt/inventis,"	2429580",0.032,0.00,0,Industrials
ASX:NNG,"NEXION Group Ltd (ASX:NNG)",https://www.listcorp.com/asx/nng/nexion-group-ltd,"	2427690",0.012,0.00,0,"Information Technology"
ASX:RCR,"Rincon Resources Limited (ASX:RCR)",https://www.listcorp.com/asx/rcr/rincon-resources-limited,"	2424740",0.029,-0.00,-3.33,Materials
ASX:SIS,"Simble Solutions Limited (ASX:SIS)",https://www.listcorp.com/asx/sis/simble-solutions-limited,"	2411800",0.004,0.00,0,"Information Technology"
ASX:ENT,"Enterprise Metals Limited (ASX:ENT)",https://www.listcorp.com/asx/ent/enterprise-metals-limited,"	2398410",0.003,0.00,0,Materials
ASX:MTAV,"BetaShares Metaverse ETF (ASX:MTAV)",https://www.listcorp.com/asx/mtav/betashares-metaverse-etf,"	2394000",11.97,0.00,0,Financials
ASX:MOH,"Moho Resources Limited (ASX:MOH)",https://www.listcorp.com/asx/moh/moho-resources-limited,"	2380310",0.007,0.00,0,Materials
ASX:LRD,"Lord Resources Limited (ASX:LRD)",https://www.listcorp.com/asx/lrd/lord-resources-limited,"	2376460",0.062,-0.00,-3.13,Materials
ASX:AFW,"Applyflow Limited (ASX:AFW)",https://www.listcorp.com/asx/afw/applyflow-limited,"	2366090",0.016,0.00,0,"Communication Services"
ASX:VIP,"VIP Gloves Limited (ASX:VIP)",https://www.listcorp.com/asx/vip/vip-gloves-limited,"	2360340",0.003,0.00,0,"Health Care"
ASX:AVM,"Advance Metals Limited (ASX:AVM)",https://www.listcorp.com/asx/avm/advance-metals-limited,"	2354240",0.004,0.00,0,Materials
ASX:OZXX,"Global  X  Australia  ex  Financials  & Resources ETF (ASX:OZXX)",https://www.listcorp.com/asx/ozxx/global-x-australia-ex-financials-and-resources-etf,"	2310000",9.24,0.00,0,Financials
ASX:APS,"Allup Silica Limited (ASX:APS)",https://www.listcorp.com/asx/aps/allup-silica-limited,"	2308630",0.06,0.00,0,Materials
ASX:TG1,"TechGen Metals Limited (ASX:TG1)",https://www.listcorp.com/asx/tg1/techgen-metals-limited,"	2237880",0.03,0.00,3.45,Materials
ASX:IDEA,"Perpetual Global Innovation Share Fund (Managed Fund) (ASX:IDEA)",https://www.listcorp.com/asx/idea/perpetual-global-innovation-share-fund-managed-fund,"	2233450",2.63,0.00,0,Financials
ASX:YPB,"YPB Group Limited (ASX:YPB)",https://www.listcorp.com/asx/ypb/ypb-group-limited,"	2230380",0.003,0.00,0,Industrials
ASX:OMX,"Orange Minerals NL (ASX:OMX)",https://www.listcorp.com/asx/omx/orange-minerals-nl,"	2227510",0.044,0.00,0,Materials
ASX:OKJ,"Oakajee Corporation (ASX:OKJ)",https://www.listcorp.com/asx/okj/oakajee,"	2194700",0.024,0.00,0,Materials
ASX:MTM,"MTM Critical Metals Limited (ASX:MTM)",https://www.listcorp.com/asx/mtm/mtm-critical-metals-limited,"	2185420",0.021,-0.00,-4.55,Materials
ASX:RGS,"Regeneus Ltd (ASX:RGS)",https://www.listcorp.com/asx/rgs/regeneus,"	2145060",0.005,-0.00,-28.57,"Health Care"
ASX:M24,"Mamba Exploration Limited (ASX:M24)",https://www.listcorp.com/asx/m24/mamba-exploration-limited,"	2134420",0.035,0.00,0,Materials
ASX:AVW,"Avira Resources Limited (ASX:AVW)",https://www.listcorp.com/asx/avw/avira-resources-limited,"	2133790",0.001,0.00,0,Materials
ASX:SAN,"Sagalio Energy Limited (ASX:SAN)",https://www.listcorp.com/asx/san/sagalio-energy-limited,"	2046600",0.01,0.00,0,Energy
ASX:PHL,"Propell Holdings Limited (ASX:PHL)",https://www.listcorp.com/asx/phl/propell-holdings-limited,"	2046040",0.017,0.00,0,Financials
ASX:TML,"Timah Resources Limited (ASX:TML)",https://www.listcorp.com/asx/tml/timah-resources-limited,"	2041480",0.023,0.00,0,Utilities
ASX:EMS,"Eastern Metals Limited (ASX:EMS)",https://www.listcorp.com/asx/ems/eastern-metals-limited,"	1996200",0.031,0.00,3.33,Materials
ASX:1GOV,"VanEck 1-5 Year Australian Government Bond ETF (ASX:1GOV)",https://www.listcorp.com/asx/1gov/vaneck-1-5-year-australian-government-bond-etf,"	1993600",49.84,0.00,0,Financials
ASX:JTL,"Jayex Technology Limited (ASX:JTL)",https://www.listcorp.com/asx/jtl/jayex-technology-limited,"	1968950",0.007,0.00,0,"Health Care"
ASX:EQS,"Equity Story Group Limited (ASX:EQS)",https://www.listcorp.com/asx/eqs/equity-story-group-limited,"	1960280",0.046,0.00,0,Financials
ASX:5GOV,"VanEck 5-10 Year Australian Government Bond ETF (ASX:5GOV)",https://www.listcorp.com/asx/5gov/vaneck-5-10-year-australian-government-bond-etf,"	1959600",48.81,-0.18,-0.37,Financials
ASX:GMTL,"Global X Green Metal Miners ETF (ASX:GMTL)",https://www.listcorp.com/asx/gmtl/global-x-green-metal-miners-etf,"	1953480",7.62,-0.19,-2.43,Financials
ASX:AO1,"AssetOwl Limited (ASX:AO1)",https://www.listcorp.com/asx/ao1/assetowl-limited,"	1947130",0.001,0.00,0,"Information Technology"
ASX:XGOV,"VanEck 10+ Year Australian Government Bond ETF (ASX:XGOV)",https://www.listcorp.com/asx/xgov/vaneck-10-year-australian-government-bond-etf,"	1934400",48.36,0.00,0,Financials
ASX:TTA,"TTA Holdings Limited (ASX:TTA)",https://www.listcorp.com/asx/tta/tta-holdings-limited,"	1923930",0.014,0.00,0,"Consumer Discretionary"
ASX:JPEQ,"JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (ASX:JPEQ)",https://www.listcorp.com/asx/jpeq/jpmorgan-us-100q-equity-premium-income-active-etf-managed-fund,"	1853950",52.97,0.00,0,Financials
ASX:CMO,"Cosmo Metals Limited (ASX:CMO)",https://www.listcorp.com/asx/cmo/cosmo-metals-limited,"	1804230",0.05,-0.00,-3.85,Materials
ASX:CYQ,"Cycliq Group Limited (ASX:CYQ)",https://www.listcorp.com/asx/cyq/cycliq-group-limited,"	1787580",0.005,0.00,0,"Consumer Discretionary"
ASX:LBT,"LBT Innovations Limited (ASX:LBT)",https://www.listcorp.com/asx/lbt/lbt-innovations-limited,"	1779500",0.005,0.00,0,"Health Care"
ASX:AQX,"Alice Queen Limited (ASX:AQX)",https://www.listcorp.com/asx/aqx/alice-queen-limited,"	1771210",0.014,0.00,0,Materials
ASX:DMM,"DMC Mining Limited (ASX:DMM)",https://www.listcorp.com/asx/dmm/dmc-mining-limited,"	1647250",0.055,0.00,0,Materials
ASX:SMS,"Star Minerals Limited (ASX:SMS)",https://www.listcorp.com/asx/sms/star-minerals-limited,"	1631380",0.045,0.00,0,Materials
ASX:BP8,"BPH Global Ltd (ASX:BP8)",https://www.listcorp.com/asx/bp8/bph-global-ltd,"	1615560",0.001,0.00,0,"Health Care"
ASX:OEQ,"Orion Equities Limited (ASX:OEQ)",https://www.listcorp.com/asx/oeq/orion-equities-limited,"	1564920",0.1,0.00,0,Financials
